text,labels
President Karzai thanked his allies for their help in battling terrorism .,B-per I-per O O O O O O O O O O
"The commander of NATO 's Afghan force , British General David Richards , said the unity of command the transfer brought will enhance the effectiveness of the overall operation .",O O O B-org O B-gpe O O B-org I-org B-per I-per O O O O O O O O O O O O O O O O O O
"Referring to the fight in southern Afghanistan since NATO took command there in July , Richards said the NATO force has shown its resolve to meet the challenges of its expanded mission .",O O O O O B-geo I-geo O B-org O O O O B-time O B-per O O B-org O O O O O O O O O O O O O O
Richards was promoted to four-star general hours before the command change .,B-per O O O O O O O O O O O
Burma 's military government said today that ex-Prime Minister Khin Nyunt was ousted last month because his investigations of military commanders threatened the unity of the armed forces .,B-geo O O O O B-time O O B-per I-per I-per O O O O O O O O O O O O O O O O O O
"State-controlled newspapers on Sunday published a speech delivered October 24 by ruling council member General Thura Shwe Mahn , who said Khin Nyunt began investigating rival officers after being told he would be replaced as military intelligence chief .",O O O B-time O O O O B-time I-time O O O O B-org I-org I-org I-org O O O B-per I-per O O O O O O O O O O O O O O O O
Thura Shwe Mahn said those actions posed a serious threat to the unity of the military and the nation .,B-org I-org I-org O O O O O O O O O O O O O O O O O
He also told businessmen with connections to Khin Nyunt to disclose that information to the ruling council .,O O O O O O O B-per I-per O O O O O O O O O
The former prime minister was replaced October 19 by hardliner Lieutenant General Soe Win .,O O O O O O B-time I-time O O O B-org I-org I-org O
The change in leaders is believed to be indicative of deep divisions within the government .,O O O O O O O O O O O O O O O O
A new report says nearly 4 people have been killed in fighting in Afghanistan this year .,O O O O O O O O O O O O O B-time O O O
"The Joint Coordination and Monitoring Board Monday , says insurgent violence has killed 3700 people so far this year , most of them rebels .",O B-org I-org I-org I-org I-org B-time O O O O O O O O O O O O O O O O O O
"The report also says militants launch about 600 attacks a month , four times higher than last year 's monthly average .",O O O O O O O O O O O O O O O O O O O O O O
"The monitoring board is comprised of Afghan and international representatives , including the United Nations .",O O O O O O B-gpe O O O O O O B-org I-org O
"The report comes as Afghan officials announced that the bodies of 20 Taleban militants had been recovered from Bermel district in Paktika province , where NATO and Afghan forces recently conducted a mission .",O O O O B-gpe O O O O O O O B-org O O O O O B-geo O O B-geo O O O B-org O B-gpe O O O O O O
"A U.S.-backed operation pushed the Taleban from power in 2001 , but members of the extremist group continue to fight Afghan and foreign forces defending the Kabul government .",O O O O O B-org O O O B-time O O O O O O O O O O B-gpe O O O O O B-org O O
Indian border security forces are accusing their Pakistani counterparts of lobbing at least four rockets into northern Punjab state .,B-gpe O O O O O O B-gpe O O O O O O O O O B-geo O O
Indian officials said no one was injured in Saturday 's incident but that two of the rockets landed near a border security outpost .,B-gpe O O O O O O O B-time O O O O O O O O O O O O O O O
Two more landed in fields belonging to a nearby village .,O O O O O O O O O O O
They say not all of the rockets exploded upon impact .,O O O O O O O O O O O
Local news reports said at least five mortar shells hit the palace compound and other mortars were fired elsewhere in Mogadishu Wednesday .,O O O O O O O O O O O O O O O O O O O O B-geo B-time O
"The attacks occurred after the government said it will go ahead with a reconciliation conference to which more than 1,3 Somali elders , warlords and politicians are invited .",O O O O O O O O O O O O O O O O O O O O B-gpe O O O O O O O O
Iraqi military officials say tanks and troops have arrived in the northern city Mosul for a new offensive against al Qaida in Iraq fighters .,B-gpe O O O O O O O O O O O O B-geo O O O O O B-org I-org I-org I-org O O
"Officials will not say how many troops have arrived in the Sunni Arab and Kurdish city , where bombings last week killed at least 34 people and wounded more than 200 .",O O O O O O O O O O O B-geo I-geo O B-geo O O O O O O O O O O O O O O O O O
U.S. commanders have not explained how American forces will participate in the offensive .,B-gpe O O O O O B-gpe O O O O O O O
Officials say al Qaida in Iraq fighters have fled successful campaigns against them in Anbar province and Baghdad to other northern provinces .,O O B-org I-org I-org I-org O O O O O O O O B-geo O O B-geo O O O O O
Mosul is the largest city north of Baghdad and has long been a stronghold of Sunni militant fighters .,B-geo O O O O O O B-geo O O O O O O O B-org O O O
"In other violence , U.S. officials said one American soldier was killed while on patrol in Baghdad Sunday .",O O O O B-gpe O O O B-gpe O O O O O O O B-geo B-time O
Egyptian police have arrested at least 16 members of the opposition Muslim Brotherhood as parts of the country prepare for parliamentary runoff elections Saturday .,B-gpe O O O O O O O O O O B-org I-org O O O O O O O O O O B-time O
The arrests occurred Friday in Alexandria .,O O O B-time O B-geo O
A spokesman for the Brotherhood said the arrests are an attempt to cut the Brotherhood off from its supporters and punishment for winning parliamentary seats in earlier elections .,O O O O B-org O O O O O O O O O B-org O O O O O O O O O O O O O O
"The Muslim Brotherhood has tripled its strength in parliament in recent elections , raising the party 's total to 47 seats .",O B-org I-org O O O O O O O O O O O O O O O O O O O
"In Saturday 's elections , voters will cast ballots in nine provinces where no candidate won a majority in the previous round of voting .",O B-time O O O O O O O O O O O O O O O O O O O O O O O
"The Muslim Brotherhood is banned as a political party , but it endorses so-called independent candidates whose allegiance to the party is known to voters .",O B-org I-org O O O O O O O O O O O O O O O O O O O O O O O
"Hardline lawmakers in Pakistan 's North West Frontier Province have pushed through a law that aims to ensure "" Islamic correctness "" in public places and establishes a morality police to enforce decent behavior .",O O O B-geo O B-geo I-geo I-geo I-geo O O O O O O O O O O O O O O O O O O O O O O O O O O
"A six-party coalition of religious based parties , the Mutahida Majlis-e-Amal , dominates the provincial assembly , so the bill was easily passed Thursday by a vote of 68-34 .",O O O O O O O O O B-org I-org O O O O O O O O O O O O B-time O O O O O O
"The provincial governor must still sign the bill before it becomes law , a step seen only as a formality .",O O O O O O O O O O O O O O O O O O O O O
"The proposed law calls for setting up a "" religious police force "" to make sure people adhere to Islamic values in public places , and entertainment outlets close during weekly Friday prayers .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-time O O
Violators could be jailed for up to six months .,O O O O O O O O O O
"The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .",O O O O O O O O O O O O O O O O B-org O O B-geo O
British police say they have arrested a man who dressed as suicide bomber at a demonstration against the publication of cartoons depicting Islam 's Prophet Muhammad .,B-gpe O O O O O O O O O O O O O O O O O O O O O B-org O B-per I-per O
Bedfordshire police said Tuesday that Omar Khayam was arrested in Bedford for breaching the conditions of his parole .,B-gpe O O B-time O B-per I-per O O O B-geo O O O O O O O O
