,Sentences,Word,POST,Predicted
0,Sentence: 9001,In,IN,O
1,,2005,CD,B-tim
2,,",",",",O
3,,Zambia,NNP,B-gpe
4,,qualified,VBD,O
5,,for,IN,O
6,,debt,NN,O
7,,relief,NN,O
8,,under,IN,O
9,,the,DT,O
10,,Highly,NNP,B-org
11,,Indebted,NNP,I-org
12,,Poor,NNP,I-org
13,,Country,NNP,I-org
14,,Initiative,NNP,I-org
15,,",",",",O
16,,consisting,VBG,O
17,,of,IN,O
18,,approximately,RB,O
19,,USD,NNP,O
20,,6,CD,O
21,,billion,CD,O
22,,in,IN,O
23,,debt,NN,O
24,,relief,NN,O
25,,.,.,O
26,Sentence: 9002,Poverty,NN,O
27,,remains,VBZ,O
28,,a,DT,O
29,,significant,JJ,O
30,,problem,NN,O
31,,in,IN,O
32,,Zambia,NNP,B-geo
33,,",",",",O
34,,despite,IN,O
35,,a,DT,O
36,,stronger,JJR,O
37,,economy,NN,O
38,,.,.,O
39,Sentence: 9003,Zambia,NNP,B-org
40,,'s,POS,O
41,,dependency,NN,O
42,,on,IN,O
43,,copper,NN,O
44,,makes,VBZ,O
45,,it,PRP,O
46,,vulnerable,JJ,O
47,,to,TO,O
48,,depressed,JJ,O
49,,commodity,NN,O
50,,prices,NNS,O
51,,",",",",O
52,,but,CC,O
53,,record,NN,O
54,,high,JJ,O
55,,copper,NN,O
56,,prices,NNS,O
57,,and,CC,O
58,,a,DT,O
59,,bumper,NN,O
60,,maize,NN,O
61,,crop,NN,O
62,,in,IN,O
63,,2010,CD,B-tim
64,,helped,VBD,O
65,,Zambia,NNP,B-gpe
66,,rebound,VB,O
67,,quickly,RB,O
68,,from,IN,O
69,,the,DT,O
70,,world,NN,O
71,,economic,JJ,O
72,,slowdown,NN,O
73,,that,WDT,O
74,,began,VBD,O
75,,in,IN,O
76,,2008,CD,B-tim
77,,.,.,O
78,Sentence: 9004,A,DT,O
79,,high,JJ,O
80,,birth,NN,O
81,,rate,NN,O
82,,",",",",O
83,,relatively,RB,O
84,,high,JJ,O
85,,HIV,NNP,O
86,,/,NNP,O
87,,AIDS,NNP,O
88,,burden,NN,O
89,,",",",",O
90,,and,CC,O
91,,market,NN,O
92,,distorting,NN,O
93,,agricultural,JJ,O
94,,policies,NNS,O
95,,have,VBP,O
96,,meant,VBN,O
97,,that,IN,O
98,,Zambia,NNP,B-org
99,,'s,POS,O
100,,economic,JJ,O
101,,growth,NN,O
102,,has,VBZ,O
103,,not,RB,O
104,,dramatically,RB,O
105,,decreased,VBN,O
106,,the,DT,O
107,,stubbornly,RB,O
108,,high,JJ,O
109,,poverty,NN,O
110,,rates,NNS,O
111,,.,.,O
112,Sentence: 9005,Slovakia,NNP,B-org
113,,'s,POS,O
114,,roots,NNS,O
115,,can,MD,O
116,,be,VB,O
117,,traced,VBN,O
118,,to,TO,O
119,,the,DT,O
120,,9th,JJ,B-tim
121,,century,NN,I-tim
122,,state,NN,O
123,,of,IN,O
124,,Great,NNP,B-org
125,,Moravia,NNP,I-org
126,,.,.,O
127,Sentence: 9006,Subsequently,RB,O
128,,",",",",O
129,,the,DT,O
130,,Slovaks,NNS,B-gpe
131,,became,VBD,O
132,,part,NN,O
133,,of,IN,O
134,,the,DT,O
135,,Hungarian,NNP,B-gpe
136,,Kingdom,NNP,O
137,,",",",",O
138,,where,WRB,O
139,,they,PRP,O
140,,remained,VBD,O
141,,for,IN,O
142,,the,DT,O
143,,next,JJ,O
144,,1,CD,B-tim
145,,years,NNS,O
146,,.,.,O
147,Sentence: 9007,Following,VBG,O
148,,the,DT,O
149,,formation,NN,O
150,,of,IN,O
151,,the,DT,O
152,,dual,JJ,O
153,,Austro-Hungarian,JJ,O
154,,monarchy,NN,O
155,,in,IN,O
156,,1867,CD,B-tim
157,,",",",",O
158,,language,NN,O
159,,and,CC,O
160,,education,NN,O
161,,policies,NNS,O
162,,favoring,VBG,O
163,,the,DT,O
164,,use,NN,O
165,,of,IN,O
166,,Hungarian,NNP,B-gpe
167,,(,LRB,O
168,,Magyarization,NNP,B-geo
169,,),RRB,O
